Item Type,title,Year,issue_date,publisher,address,volume,number,url,doi,abstract,journal,month,articleno,numpages,Keywords,Authors,isbn,booktitle,pages,location,series,issn,source,Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,Funding Information,PDF Link,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,note
article,GR-Fall: A Fall Detection System with Gait Recognition for Indoor Environments Using SISO mmWave Radar,2025,September 2025,Association for Computing Machinery,"New York, NY, USA",9.0,3.0,https://doi.org/10.1145/3749471,10.1145/3749471,"Fall detection is essential for safeguarding the health of elderly persons, enabling timely alerts to family members or the community. Millimeter-wave (mmWave) radar offers an effective solution, as it is privacy-preserving, non-invasive, and highly sensitive to motion. However, most existing approaches rely on multi-input, multi-output mmWave radar to generate 4D point clouds or range-angle heatmaps, significantly raising device costs. In this paper, we propose GR-Fall, a fall detection system with integrated gait recognition designed for indoor environments using single-input, single-output mmWave radar. To achieve high performance in various environments, we develop a data augmentation algorithm for target heatmaps and a cross-attention-based heatmap fusion framework for efficient fall detection. Furthermore, we introduce an innovative fall alarm mechanism based on joint fall-gait detection. This mechanism activates alerts when a person is detected having difficulty moving after a fall, thus minimizing unnecessary alarms and reducing strain on community resources. To evaluate GR-Fall, we recruit 33 volunteers and collect 5,799 instances across four different environments. Experimental results show that GR-Fall achieves 98.1% precision and 98.7% recall in new environments and with new participants, outperforming other state-of-the-art heatmap-based methods.",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,September,118,26.0,"['Fall Detection', 'Wireless Sensing', 'mmWave Radar']","Meng, Chengzhen; He, Chenming; Wang, Dequan; Xiao, Yuxuan; Wang, Lingyu; Fan, Xiaoran; Zhang, Lu; Zhang, Yanyong",,,,,,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Study of fall detection in infrared scenes based on improved YOLOv8-POSE,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3718491.3718627,10.1145/3718491.3718627,"Accidental fall is one of the main reasons that threaten the health of the elderly and even cause death. The hazards caused by falls can be minimized by timely detection and timely rescue through monitoring equipment. Significant progress has been made in fall detection algorithms based on image processing. Still, fall detection algorithms under natural light do not apply to dark scenes and scenes that need to protect people's privacy. To address the identified limitations, a fall detection algorithm based on infrared surveillance devices is proposed. An infrared human posture dataset is developed, and the YOLOv8-PCS key point detection model is introduced. Additionally, the CBAM and Slim-neck lightweight architecture are integrated to maintain accuracy while improving the model's efficiency. Compared with the YOLOv8-POSE, mAP@50 improves by 2.5%, and the detection speed FPS reaches 27.8. And a multi-feature based fall detection decision strategy is proposed, and the experimental results show that the fall strategy has high accuracy and response speed, the accuracy rate reaches 91.6%, and the average detection time consumes 36ms, which meets the basic requirements of fall detection.",,,,6.0,"['Fall detection', 'Fall determination strategy', 'Infrared images', 'YOLOv8-POSE']","Zhang, Xinyu; Wang, Jia; Ma, Sen; Gong, Tailong",9798400710865.0,Proceedings of the 4th Asia-Pacific Artificial Intelligence and Big Data Forum,842–847,,AIBDF '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Quantization with Gate Disclosure for Embedded Artificial Intelligence Applied to Fall Detection,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3677525.3678644,10.1145/3677525.3678644,"Fall detection in the elderly population is a typical application of pattern recognition, where machine learning algorithms have shown good performance results in the scientific literature. Nevertheless, the usual large dimension of the networks proposes a challenge for embedded implementations that could be used on wearable or wireless sensor networks. The most common implementation relies on edge or cloud computing of the algorithms, which triggers potential privacy issues and poses a challenge in terms of a large amount of data that need to be transferred through a communication channel. The current work proposes a new methodology for performing network quantization. The extensive simulation results demonstrate the effectiveness and feasibility of the employed methodology for embedded implementation of the LSTM for the fall detection problem on wearable platforms.",,,,4.0,"['Artificial Intelligence', 'Embedded Computing', 'Quantization', 'Sensors Networks', 'Soft Computing', 'Wearable Sensors.']","Correia, S\'{e}rgio; Matos-Carvalho, Jo\~{a}o; Tomic, Slavisa",9798400710940.0,Proceedings of the 2024 International Conference on Information Technology for Social Good,84–87,"Bremen, Germany",GoodIT '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Smart Floor System for Comprehensive Fall Detection: Enhancing Safety and Independence for the Elderly,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3706890.3706935,10.1145/3706890.3706935,"With the global aging population on the rise, fall-related injuries among the elderly pose significant health risks, making timely and accurate fall detection crucial. Traditional fall detection methods, including wearable sensors, ambient sensors, and camera-based systems, often face limitations such as user compliance, limited coverage, and privacy concerns. This paper proposes a novel human fall detection method utilizing a smart floor system that employs sensors combining capacitance and inductance. These sensors capture electrical properties data, which is then processed using data processing and analysis techniques to accurately detect and differentiate between various human postures such as standing, sitting, and lying down. This system addresses the shortcomings of existing technologies by providing comprehensive coverage without the need for user-worn devices and operates effectively irrespective of environmental conditions. By integrating this system into everyday environments, we can significantly enhance the safety and independence of the elderly, offering a reliable and cost-effective solution for fall detection.",,,,5.0,"['elderly care', 'fall detection', 'ground sensors', 'non-intrusive monitoring']","Li, Lin; Jiang, Lei; Han, Han; Yuan, Keya",9798400717826.0,Proceedings of the 2024 5th International Symposium on Artificial Intelligence for Medicine Science,254–258,,ISAIMS '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Point Cloud Classification Fall Detection Method Based on Millimeter Wave Radar,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3696474.3696488,10.1145/3696474.3696488,"Falling at home is the most common cause of injury among the elderly. Wearable devices are inconvenient and costly, while camera systems pose risks to privacy. A fall detection method employing millimeter-wave radar coupled with a classification network is proposed to address these issues. This approach leverages the benefits of millimeter-wave radar and deep learning. The raw data processed by the radar yields the required information, which is then rendered into a point cloud. Subsequent voxelization enhances feature learning, enabling the model to function even with sparse data. The information is then fed into our custom-designed network for time series extraction to classify behaviors. Finally, the time series extraction network utilized in this study is compared with several popular networks, demonstrating that our system offers an effective technological avenue for target detection and posture analysis, and boasts high algorithmic precision in millimeter-wave radar fall detection.",,,,4.0,"['Fall detection', 'Millimeter-wave radar', 'Neural networks', 'Point-cloud']","Zhou, Manyue; Gong, Pengcheng; Wu, Yuntao; Liu, Jianyu",9798400710100.0,Proceedings of the 2024 4th International Joint Conference on Robotics and Artificial Intelligence,60–63,,JCRAI '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Black Cloud Generation Method for Privacy Protection in Fall Detection,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3579109.3579112,10.1145/3579109.3579112,"Fall detection is an important application in computer vision. However, the image data for fall detection contain unprotected privacy. For example, the silhouette of a person who falls may divulge information about whether the person is disabled. In addition, privacy, such as the age and height of the fallen person, will also be apparent in the image. To tackle these issues, this paper proposes a novel approach, called Black Cloud for Falling Detection (BCFD), to protect the privacy information of the fallen person. We introduce a new image segmentation method to estimate the contour of the human body image, and we generate 'black clouds' to accurately cover the complete human images. The detector was conducted using the contour information to obtain the fallen person. We also propose a method to construct a privacy-protected fall detection dataset and provide a sample dataset. The proposed method can protect the privacy information precisely compared with the state-of-the-art methods. We have validated our method on the proposed PPFD-sample dataset, observing 90.2% precision and 81.8% recall. Experimental results demonstrate that our approach can protect image privacy effectively in the fallen person detection task.",,,,6.0,"['Privacy Protection', 'Image Segmentation', 'Fall Detection', 'Deep Learning']","Zhang, Runqing; Yan, Haoran; Cai, Dunbo; Qian, Ling",9781450397568.0,Proceedings of the 2022 6th International Conference on Video and Image Processing,13–18,"Shanghai, China",ICVIP '22,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Hybrid SNN-based Privacy-Preserving Fall Detection using Neuromorphic Sensors,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3627631.3627650,10.1145/3627631.3627650,"Indoor surveillance is crucial for ensuring the safety and security of occupants within the premises. Only those who are ill or elderly tend to spend the most time at home. The use of indoor surveillance to continuously monitor these people’s security could help in the early detection and avoidance of tragic incidents. Ensuring privacy while achieving this task has led to a recent research focus on protecting privacy in human fall detection. This paper attempts to address the issue of privacy-preserving fall detection by employing the Dynamic Vision Sensor (DVS), which captures intensity changes without compromising individuals’ privacy. This paper introduces a novel event-based dataset named “DVSFall”, incorporating diverse daily living activities (ADL) and simulated falls. Captured from multiple viewpoints using DVS cameras, the dataset encompasses twenty-one participants across varying age groups. To evaluate the dataset, we employed Spiking Neural Networks (SNN) designed to replicate neural activity. Furthermore, we explored a hybrid framework, the 3D-CNN &amp; SNN (NeuCube) approach, for fall detection. Our proposed framework achieved an accuracy of 94.59% with SNN and notably improved to 97.84% using the hybrid approach, as measured against the recorded dataset.",,,19,9.0,"['Action Classification', 'DVS', 'Fall Detection', 'Privacy-Preserving', 'SNN']","Prasad, Shyam; Mehta, Naval; Kumar, Himanshu; Banerjee, Abeer; Saurav, Sumeet; Singh, Sanjay",9798400716256.0,"Proceedings of the Fourteenth Indian Conference on Computer Vision, Graphics and Image Processing",,"Rupnagar, India",ICVGIP '23,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,FallDeWideo: Vision-Aided Wireless Sensing Dataset for Fall Detection with Commodity Wi-Fi Devices,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3615984.3616501,10.1145/3615984.3616501,"Falling is one of the most dangerous events for the elderly and one of the most pressing public concern, which calls for an accurate, efficient, ubiquitous, cost-effective and privacy-preserving fall detection system to mitigate the negative consequences. Wi-Fi sensing-based method is considered as a potential technique to meet such needs. Existing solutions simply treat fall detection simply as a binary classification task, which leads to interpretability risks. To address this issue, we present FallDeWideo, the first multi-modal dataset dedicated to fall detection, comprising Wi-Fi CSI data and videos recorded during various kinds of events. We provide benchmark model for this dataset as well. Specifically, we train a CSI-based human pose estimation model (HPE) using video data as the supervision modality. The trained model can estimate human pose solely on Wi-Fi channel state information (CSI), and then detects whether a fall event occurs. This pipeline extracts rich information from CSI data and detects fall with more than just an alarm, but attached with an HPE, which allows more refined management of fall risks. We envision that this dataset will contribute to the wireless sensing research coomunity with respect to healthcare, action recognition, and cross-modal sensing. Codes and link to the dataset is available at https://github.com/shawnnn3di/falldewideo.",,,,6.0,"['Wi-Fi sensing', 'activity recognition', 'datasets', 'fall detection', 'multi-modal']","Cai, Zhijie; Chen, Tingwei; Zhou, Fujia; Cui, Yuanhao; Li, Hang; Li, Xiaoyang; Zhu, Guangxu; Shi, Qingjiang",9798400703645.0,Proceedings of the 3rd ACM MobiCom Workshop on Integrated Sensing and Communications Systems,7–12,"Madrid, Spain",ISACom '23,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Action Recognition and Fall Detection System Based on 3D Skeleton Model,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3654522.3654537,10.1145/3654522.3654537,"Although Artificial intelligence has become an important part of machine-human interactions today. This research focuses on recognizing daily activities such as running, jumping, and walking, and the role of fall detection. The study emphasizes the system's ability to analyze human behavior in common situations, particularly in fall detection. Recognizing patterns in fall behavior is crucial in providing alerts and responding to emergencies. This not only supports security but also enhances healthcare and elderly care. A reliable fall detection system can stimulate the development of health and safety support systems and create smart applications for monitoring and home healthcare.The research will use RGB video data processed through Mediapipe [13] to extract skeletal keypoints. The ST-GCN model (Spatial-Temporal Graph Convolutional Network) [24] will be utilized for training and evaluation. Finally, a real-time camera system [14] will be built to detect actions using the Orange Pi Zero 3 embedded computer.",,,,8.0,"['Fall detection', 'Human action recognition', 'Mediapipe Pose']","Tran, Tri; Hoang, Khoa; Hoang, Ha",9798400716713.0,Proceedings of the 2024 9th International Conference on Intelligent Information Technology,86–93,"Ho Chi Minh City, Vietnam",ICIIT '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
inproceedings,Design and Implementation of Clinical Monitoring Equipment Based on Thermal Infrared Imaging for Human Body Morphological Changes,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3718441.3718478,10.1145/3718441.3718478,"The escalating aging demographic in China has heightened concerns regarding elderly care, particularly in the context of fall prevention. This research project is dedicated to the development of a fall detection system employing thermal infrared imaging technology. The system operates by monitoring changes in the tilt angle of an ellipse fitted to the body's thermal profile, alongside detecting infrared emissions from the body's surface to identify instances of falling. It is designed to provide a labor-efficient caregiving solution for the elderly in hospital or other care environments. Upon detecting a fall, the device immediately triggers an alarm, ensuring prompt medical intervention and potentially improving treatment outcomes. The result reveals that this system can collect morphological data through infrared imaging and assesses head movement acceleration to ascertain fall incidents. By processing these images, it can significantly reduce the mortality rate associated with falls, while also safeguarding patient privacy and minimizing the risk of accidents. Utilizing infrared imaging technology, the device offers real-time patient monitoring, which can decrease the likelihood of falls and enhance the efficiency of medical staff. This innovation holds substantial societal value, particularly in the context of an aging population.",,,,6.0,"['Angle of Tilt', 'Body Surface Temperature', 'Elliptical Fitting', 'Fall Detection', 'Infrared Imaging Technology']","Song, Ju-Hua; Cheng, Lin-lin; Liu, Fu-Xuan; Yang, Ying-Rui; Li, Tong; Ji, Chao",9798400709906.0,Proceedings of the 2024 2nd Asia Symposium on Image and Graphics,177–182,,ASIG '24,,ACM,,,,,,,,,,,,,,,,,,,,,,,,,
