"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MTGEZS9Z","journalArticle","2025","Meng, Chengzhen; He, Chenming; Wang, Dequan; Xiao, Yuxuan; Wang, Lingyu; Fan, Xiaoran; Zhang, Lu; Zhang, Yanyong","GR-Fall: A Fall Detection System with Gait Recognition for Indoor Environments Using SISO mmWave Radar","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","","","10.1145/3749471","https://doi.org/10.1145/3749471","Fall detection is essential for safeguarding the health of elderly persons, enabling timely alerts to family members or the community. Millimeter-wave (mmWave) radar offers an effective solution, as it is privacy-preserving, non-invasive, and highly sensitive to motion. However, most existing approaches rely on multi-input, multi-output mmWave radar to generate 4D point clouds or range-angle heatmaps, significantly raising device costs. In this paper, we propose GR-Fall, a fall detection system with integrated gait recognition designed for indoor environments using single-input, single-output mmWave radar. To achieve high performance in various environments, we develop a data augmentation algorithm for target heatmaps and a cross-attention-based heatmap fusion framework for efficient fall detection. Furthermore, we introduce an innovative fall alarm mechanism based on joint fall-gait detection. This mechanism activates alerts when a person is detected having difficulty moving after a fall, thus minimizing unnecessary alarms and reducing strain on community resources. To evaluate GR-Fall, we recruit 33 volunteers and collect 5,799 instances across four different environments. Experimental results show that GR-Fall achieves 98.1% precision and 98.7% recall in new environments and with new participants, outperforming other state-of-the-art heatmap-based methods.","2025-09","2026-03-02 13:40:38","2026-03-02 13:40:38","","","","3","9","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Fall Detection; mmWave Radar; Wireless Sensing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3DCVG26","conferencePaper","2025","Zhang, Xinyu; Wang, Jia; Ma, Sen; Gong, Tailong","Study of fall detection in infrared scenes based on improved YOLOv8-POSE","Proceedings of the 4th Asia-Pacific Artificial Intelligence and Big Data Forum","979-8-4007-1086-5","","10.1145/3718491.3718627","https://doi.org/10.1145/3718491.3718627","Accidental fall is one of the main reasons that threaten the health of the elderly and even cause death. The hazards caused by falls can be minimized by timely detection and timely rescue through monitoring equipment. Significant progress has been made in fall detection algorithms based on image processing. Still, fall detection algorithms under natural light do not apply to dark scenes and scenes that need to protect people's privacy. To address the identified limitations, a fall detection algorithm based on infrared surveillance devices is proposed. An infrared human posture dataset is developed, and the YOLOv8-PCS key point detection model is introduced. Additionally, the CBAM and Slim-neck lightweight architecture are integrated to maintain accuracy while improving the model's efficiency. Compared with the YOLOv8-POSE, mAP@50 improves by 2.5%, and the detection speed FPS reaches 27.8. And a multi-feature based fall detection decision strategy is proposed, and the experimental results show that the fall strategy has high accuracy and response speed, the accuracy rate reaches 91.6%, and the average detection time consumes 36ms, which meets the basic requirements of fall detection.","2025","2026-03-02 13:40:38","2026-03-02 13:40:38","","842–847","","","","","","","AIBDF '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Fall detection; Fall determination strategy; Infrared images; YOLOv8-POSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2P8FBHV","conferencePaper","2024","Correia, Sérgio D.; Matos-Carvalho, João P.; Tomic, Slavisa","Quantization with Gate Disclosure for Embedded Artificial Intelligence Applied to Fall Detection","Proceedings of the 2024 International Conference on Information Technology for Social Good","979-8-4007-1094-0","","10.1145/3677525.3678644","https://doi.org/10.1145/3677525.3678644","Fall detection in the elderly population is a typical application of pattern recognition, where machine learning algorithms have shown good performance results in the scientific literature. Nevertheless, the usual large dimension of the networks proposes a challenge for embedded implementations that could be used on wearable or wireless sensor networks. The most common implementation relies on edge or cloud computing of the algorithms, which triggers potential privacy issues and poses a challenge in terms of a large amount of data that need to be transferred through a communication channel. The current work proposes a new methodology for performing network quantization. The extensive simulation results demonstrate the effectiveness and feasibility of the employed methodology for embedded implementation of the LSTM for the fall detection problem on wearable platforms.","2024","2026-03-02 13:40:38","2026-03-02 13:40:38","","84–87","","","","","","","GoodIT '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Artificial Intelligence; Embedded Computing; Quantization; Sensors Networks; Soft Computing; Wearable Sensors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJ5EX5EG","conferencePaper","2025","Li, Lin; Jiang, Lei; Han, Han; Yuan, Keya","Smart Floor System for Comprehensive Fall Detection: Enhancing Safety and Independence for the Elderly","Proceedings of the 2024 5th International Symposium on Artificial Intelligence for Medicine Science","979-8-4007-1782-6","","10.1145/3706890.3706935","https://doi.org/10.1145/3706890.3706935","With the global aging population on the rise, fall-related injuries among the elderly pose significant health risks, making timely and accurate fall detection crucial. Traditional fall detection methods, including wearable sensors, ambient sensors, and camera-based systems, often face limitations such as user compliance, limited coverage, and privacy concerns. This paper proposes a novel human fall detection method utilizing a smart floor system that employs sensors combining capacitance and inductance. These sensors capture electrical properties data, which is then processed using data processing and analysis techniques to accurately detect and differentiate between various human postures such as standing, sitting, and lying down. This system addresses the shortcomings of existing technologies by providing comprehensive coverage without the need for user-worn devices and operates effectively irrespective of environmental conditions. By integrating this system into everyday environments, we can significantly enhance the safety and independence of the elderly, offering a reliable and cost-effective solution for fall detection.","2025","2026-03-02 13:40:39","2026-03-02 13:40:39","","254–258","","","","","","","ISAIMS '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","elderly care; fall detection; ground sensors; non-intrusive monitoring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ICWWWB6","conferencePaper","2025","Zhou, Manyue; Gong, Pengcheng; Wu, Yuntao; Liu, Jianyu","Point Cloud Classification Fall Detection Method Based on Millimeter Wave Radar","Proceedings of the 2024 4th International Joint Conference on Robotics and Artificial Intelligence","979-8-4007-1010-0","","10.1145/3696474.3696488","https://doi.org/10.1145/3696474.3696488","Falling at home is the most common cause of injury among the elderly. Wearable devices are inconvenient and costly, while camera systems pose risks to privacy. A fall detection method employing millimeter-wave radar coupled with a classification network is proposed to address these issues. This approach leverages the benefits of millimeter-wave radar and deep learning. The raw data processed by the radar yields the required information, which is then rendered into a point cloud. Subsequent voxelization enhances feature learning, enabling the model to function even with sparse data. The information is then fed into our custom-designed network for time series extraction to classify behaviors. Finally, the time series extraction network utilized in this study is compared with several popular networks, demonstrating that our system offers an effective technological avenue for target detection and posture analysis, and boasts high algorithmic precision in millimeter-wave radar fall detection.","2025","2026-03-02 13:40:39","2026-03-02 13:40:39","","60–63","","","","","","","JCRAI '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Fall detection; Millimeter-wave radar; Neural networks; Point-cloud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EELTRSR8","conferencePaper","2024","Zheng, Yi; Xiao, Ruifeng; He, Qiang","Human Keypoint-Guided Fall Detection: An Attention-Integrated GRU Approach","Proceedings of the 2023 4th International Conference on Machine Learning and Computer Application","979-8-4007-0944-9","","10.1145/3650215.3650254","https://doi.org/10.1145/3650215.3650254","In recent years, the convergence of deep learning and medical advancements has seen rapid growth, reflecting an increasing societal aspiration for a superior quality of life. Falls, however, remain a principal threat causing grave injuries and mortalities, with the elderly being particularly vulnerable. This accentuates the imperative need for advanced computer vision based fall detection technologies. In this study, the maximum inter-frame difference method is first introduced to extract the keyframes from a video of the fall process. Subsequently, the skeletal keypoint detection algorithm via ViTPose++ is employed to derive comprehensive human skeletal keypoint coordinates. Then, the Gate Recurrent Unit (GRU) is introduced to recognize the inherent inter-frame correlation in fall detection. To further amalgamate spatio-temporal features, a fall detection algorithm via end-to-end neural network is proposed integrating the Attention mechanism with the GRU model. Ultimately, experiments on the public dataset for fall detection have affirmed that this enhanced GRU-Attention model secures an impressive accuracy rate of 99.28% with an AUC of 99.11% and improving the prediction efficiency by as much as 10 times.","2024","2026-03-02 13:40:39","2026-03-02 13:40:39","","221–226","","","","","","","ICMLCA '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I49Y97ZA","conferencePaper","2023","Zhang, Runqing; Yan, Haoran; Cai, Dunbo; Qian, Ling","Black Cloud Generation Method for Privacy Protection in Fall Detection","Proceedings of the 2022 6th International Conference on Video and Image Processing","978-1-4503-9756-8","","10.1145/3579109.3579112","https://doi.org/10.1145/3579109.3579112","Fall detection is an important application in computer vision. However, the image data for fall detection contain unprotected privacy. For example, the silhouette of a person who falls may divulge information about whether the person is disabled. In addition, privacy, such as the age and height of the fallen person, will also be apparent in the image. To tackle these issues, this paper proposes a novel approach, called Black Cloud for Falling Detection (BCFD), to protect the privacy information of the fallen person. We introduce a new image segmentation method to estimate the contour of the human body image, and we generate 'black clouds' to accurately cover the complete human images. The detector was conducted using the contour information to obtain the fallen person. We also propose a method to construct a privacy-protected fall detection dataset and provide a sample dataset. The proposed method can protect the privacy information precisely compared with the state-of-the-art methods. We have validated our method on the proposed PPFD-sample dataset, observing 90.2% precision and 81.8% recall. Experimental results demonstrate that our approach can protect image privacy effectively in the fallen person detection task.","2023","2026-03-02 13:40:39","2026-03-02 13:40:39","","13–18","","","","","","","ICVIP '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Deep Learning; Fall Detection; Image Segmentation; Privacy Protection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIRZJA4E","conferencePaper","2025","Zhao, Yehong; Deng, Junwen; Zhang, Mingyue; Liu, Huan; Liu, Mingtao; Li, Jinmei","Multi-Sensor Fusion for Fall Detection and Early Warning: Overcoming Camera Blind Spots","Proceedings of the 2024 8th International Conference on Electronic Information Technology and Computer Engineering","979-8-4007-1009-4","","10.1145/3711129.3711346","https://doi.org/10.1145/3711129.3711346","The aging population has led to an increased need for reliable fall detection systems that can provide timely assistance to individuals who have fallen. This paper presents a multi-sensor fusion system designed to detect falls and issue early warnings, overcoming the limitations of camera-based systems, particularly in areas where camera surveillance is not feasible. We utilize a combination of an MPU6050 six-axis pose sensor and a MAX30102 heart rate and blood oxygen sensor to achieve high accuracy in fall detection. The system is designed to differentiate between falling and normal physical activities, reducing false positives. When a fall is detected, the system triggers an alert and sends real-time health data to a TCP server for monitoring on a mobile terminal. Our approach addresses camera blind spots and provides a comprehensive solution for fall detection in non-visual environments.","2025","2026-03-02 13:40:39","2026-03-02 13:40:39","","1288–1298","","","","","","","EITCE '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Camera blind spots; Early warning; Fall detection; Multi-sensor fusion; Non-visual environments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68EAED7I","conferencePaper","2024","Li, Bin; Zhang, Zhiwei","Research on Age-Friendly Home Design Based on Regularized Non-negative Matrix Factorization Algorithm","Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering","979-8-4007-1813-7","","10.1145/3689236.3689295","https://doi.org/10.1145/3689236.3689295","Population aging has become a major issue in Asian countries. Advances in computer algorithms have enabled the design and development of smart home and elderly care devices. Given the limitations of existing fall detection algorithms, this paper proposes a method for an intelligent fall prevention system for the elderly, focusing on non-negative matrix factorization visual correction. This research addresses the challenges of automatically adjusting the parameters of visual detection systems in real-world scenarios. The method combines LSTM with non-negative matrix factorization visual optimization algorithms to eliminate environmental noise's impact on visual analysis. It iteratively estimates background noise power levels based on algorithm reference layers, achieving accurate detection of elderly fall behaviors and posture features. The proposed method compensates for inaccuracies in posture description and significant tracking errors of traditional integer-order admittance control. Experimental results show that, compared to other methods, the proposed method offers superior fall posture detection performance. Therefore, it can be effectively applied to elderly care smart home systems, providing new strategies for optimizing smart furniture performance.CCS CONCEPTS •Computing methodologies • Modeling and simulation • Model development and analysis","2024","2026-03-02 13:40:39","2026-03-02 13:40:39","","413–418","","","","","","","ICCSIE '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Fall detection algorithms; Long short-term memory; Non-negative matrix factorization; Population aging; Smart home and elderly care devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZZ3HWWN","conferencePaper","2024","Prasad, Shyam Sunder; Mehta, Naval Kishore; Kumar, Himanshu; Banerjee, Abeer; Saurav, Sumeet; Singh, Sanjay","Hybrid SNN-based Privacy-Preserving Fall Detection using Neuromorphic Sensors","Proceedings of the Fourteenth Indian Conference on Computer Vision, Graphics and Image Processing","979-8-4007-1625-6","","10.1145/3627631.3627650","https://doi.org/10.1145/3627631.3627650","Indoor surveillance is crucial for ensuring the safety and security of occupants within the premises. Only those who are ill or elderly tend to spend the most time at home. The use of indoor surveillance to continuously monitor these people’s security could help in the early detection and avoidance of tragic incidents. Ensuring privacy while achieving this task has led to a recent research focus on protecting privacy in human fall detection. This paper attempts to address the issue of privacy-preserving fall detection by employing the Dynamic Vision Sensor (DVS), which captures intensity changes without compromising individuals’ privacy. This paper introduces a novel event-based dataset named “DVSFall”, incorporating diverse daily living activities (ADL) and simulated falls. Captured from multiple viewpoints using DVS cameras, the dataset encompasses twenty-one participants across varying age groups. To evaluate the dataset, we employed Spiking Neural Networks (SNN) designed to replicate neural activity. Furthermore, we explored a hybrid framework, the 3D-CNN &amp; SNN (NeuCube) approach, for fall detection. Our proposed framework achieved an accuracy of 94.59% with SNN and notably improved to 97.84% using the hybrid approach, as measured against the recorded dataset.","2024","2026-03-02 13:40:39","2026-03-02 13:40:39","","","","","","","","","ICVGIP '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","Action Classification; DVS; Fall Detection; Privacy-Preserving; SNN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
